symbol,ALL,C1,C2,C3,C4,C5,C6,C7,batch
C1_AD1,1,1,0,0,0,0,0,0,1
C1_AD2,1,1,0,0,0,0,0,0,2
C1_AD3,1,1,0,0,0,0,0,0,3
C1_BM1,1,1,0,0,0,0,0,0,1
C1_BM2,1,1,0,0,0,0,0,0,2
C1_BM3,1,1,0,0,0,0,0,0,3
C1_PM1,1,1,0,0,0,0,0,0,1
C1_PM2,1,1,0,0,0,0,0,0,2
C1_PM3,1,1,0,0,0,0,0,0,3
C1_UC1,1,1,0,0,0,0,0,0,1
C1_UC2,1,1,0,0,0,0,0,0,2
C1_UC3,1,1,0,0,0,0,0,0,3
C2_AD1,1,0,1,0,0,0,0,0,1
C2_AD2,1,0,1,0,0,0,0,0,2
C2_AD3,1,0,1,0,0,0,0,0,3
C2_BM1,1,0,1,0,0,0,0,0,1
C2_BM2,1,0,1,0,0,0,0,0,2
C2_BM3,1,0,1,0,0,0,0,0,3
C2_PM1,1,0,1,0,0,0,0,0,1
C2_PM2,1,0,1,0,0,0,0,0,2
C2_PM3,1,0,1,0,0,0,0,0,3
C2_UC1,1,0,1,0,0,0,0,0,1
C2_UC2,1,0,1,0,0,0,0,0,2
C2_UC3,1,0,1,0,0,0,0,0,3
C3_AD1,1,0,0,1,0,0,0,0,1
C3_AD2,1,0,0,1,0,0,0,0,2
C3_AD3,1,0,0,1,0,0,0,0,3
C3_BM1,1,0,0,1,0,0,0,0,1
C3_BM2,1,0,0,1,0,0,0,0,2
C3_BM3,1,0,0,1,0,0,0,0,3
C3_PM1,1,0,0,1,0,0,0,0,1
C3_PM2,1,0,0,1,0,0,0,0,2
C3_PM3,1,0,0,1,0,0,0,0,3
C3_UC1,1,0,0,1,0,0,0,0,1
C3_UC2,1,0,0,1,0,0,0,0,2
C3_UC3,1,0,0,1,0,0,0,0,3
C4_AD1,1,0,0,0,1,0,0,0,1
C4_AD2,1,0,0,0,1,0,0,0,2
C4_AD3,1,0,0,0,1,0,0,0,3
C4_BM1,1,0,0,0,1,0,0,0,1
C4_BM2,1,0,0,0,1,0,0,0,2
C4_BM3,1,0,0,0,1,0,0,0,3
C4_PM1,1,0,0,0,1,0,0,0,1
C4_PM2,1,0,0,0,1,0,0,0,2
C4_PM3,1,0,0,0,1,0,0,0,3
C4_UC1,1,0,0,0,1,0,0,0,1
C4_UC2,1,0,0,0,1,0,0,0,2
C4_UC3,1,0,0,0,1,0,0,0,3
C5_AD1,1,0,0,0,0,1,0,0,1
C5_AD2,1,0,0,0,0,1,0,0,2
C5_AD3,1,0,0,0,0,1,0,0,3
C5_BM1,1,0,0,0,0,1,0,0,1
C5_BM2,1,0,0,0,0,1,0,0,2
C5_BM3,1,0,0,0,0,1,0,0,3
C5_PM1,1,0,0,0,0,1,0,0,1
C5_PM2,1,0,0,0,0,1,0,0,2
C5_PM3,1,0,0,0,0,1,0,0,3
C5_UC1,1,0,0,0,0,1,0,0,1
C5_UC2,1,0,0,0,0,1,0,0,2
C5_UC3,1,0,0,0,0,1,0,0,3
C6_AD1,1,0,0,0,0,0,1,0,1
C6_AD2,1,0,0,0,0,0,1,0,2
C6_AD3,1,0,0,0,0,0,1,0,3
C6_BM1,1,0,0,0,0,0,1,0,1
C6_BM2,1,0,0,0,0,0,1,0,2
C6_BM3,1,0,0,0,0,0,1,0,3
C6_PM1,1,0,0,0,0,0,1,0,1
C6_PM2,1,0,0,0,0,0,1,0,2
C6_PM3,1,0,0,0,0,0,1,0,3
C6_UC1,1,0,0,0,0,0,1,0,1
C6_UC2,1,0,0,0,0,0,1,0,2
C6_UC3,1,0,0,0,0,0,1,0,3
C7_AD1,1,0,0,0,0,0,0,1,1
C7_AD2,1,0,0,0,0,0,0,1,2
C7_AD3,1,0,0,0,0,0,0,1,3
C7_BM1,1,0,0,0,0,0,0,1,1
C7_BM2,1,0,0,0,0,0,0,1,2
C7_BM3,1,0,0,0,0,0,0,1,3
C7_PM1,1,0,0,0,0,0,0,1,1
C7_PM2,1,0,0,0,0,0,0,1,2
C7_PM3,1,0,0,0,0,0,0,1,3
C7_UC1,1,0,0,0,0,0,0,1,1
C7_UC2,1,0,0,0,0,0,0,1,2
C7_UC3,1,0,0,0,0,0,0,1,3
